carts,carts-db,catalogue,catalogue-db,front-end,orders,orders-db,payment,queue-master,rabbitmq,session-db,shipping,user,user-db
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,3,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,2,2
6,8,1,2,16,6,1,1,1,1,2,1,1,2
6,8,1,2,16,6,1,1,1,1,2,1,1,2
6,8,1,2,16,6,1,1,1,1,2,1,1,2
